0;705ff427
1;705ff428
2;705ff429
3;705ff42a
4;705ff42b
5;705ff42c
6;705ff42d
7;705ff42e
8;705ff42f
9;705ff430
a;705ff431
b;705ff432
c;705ff433
d;705ff434
e;705ff435
f;705ff436
10;705ff437
11;705ff438
12;705ff439
13;705ff43a
14;705ff43b
15;705ff43c
16;705ff43d
17;705ff43e
18;705ff43f
19;705ff440
1a;705ff441
1b;705ff442
1c;705ff443
1d;705ff444
1e;705ff445
1f;705ff446
20;705ff447
21;705ff448
22;705ff449
23;705ff44a
24;705ff44b
25;705ff44c
26;705ff44d
27;705ff44e
28;705ff44f
29;705ff450
2a;705ff451
2b;705ff452
2c;705ff453
2d;705ff454
2e;705ff455
2f;705ff456
30;705ff457
31;705ff458
32;705ff459
33;705ff45a
34;705ff45b
35;705ff45c
36;705ff45d
37;705ff45e
38;705ff45f
39;705ff460
3a;705ff461
3b;705ff462
3c;705ff463
3d;705ff464
3e;705ff465
3f;705ff466
40;705ff467
41;705ff468
42;705ff469
43;705ff46a
44;705ff46b
45;705ff46c
46;705ff46d
47;705ff46e
48;705ff46f
49;705ff470
4a;705ff471
4b;705ff472
4c;705ff473
4d;705ff474
4e;705ff475
4f;705ff476
50;705ff477
51;705ff478
52;705ff479
53;705ff47a
54;705ff47b
55;705ff47c
56;705ff47d
57;705ff47e
58;705ff47f
59;705ff480
5a;705ff481
5b;705ff482
5c;705ff483
5d;705ff484
5e;705ff485
5f;705ff486
60;705ff487
61;705ff488
62;705ff489
63;705ff48a
